source,medium,pv,scroll_after_pv,click_after_scroll,pv_scroll_rate,pv_click_rate,scroll_click_rate,비고
(direct),(none),164,73,11,0.4451,0.0671,0.1507,링크로 바로 유입
fb,cpc,773,142,8,0.1837,0.0103,0.0563,페이스북-유료광고
brunch,footer,54,32,8,0.5926,0.1481,0.25,브런치-하단링크
ig,profile,103,42,5,0.4078,0.0485,0.119,인스타그램-프로필
open_katalk,(none),17,9,3,0.5294,0.1765,0.3333,오픈카톡
velog,footer,14,8,2,0.5714,0.1429,0.25,벨로그-하단링크
youtube,video,11,6,2,0.5455,0.1818,0.3333,유튜브-영상하단링크
careerly,footer,12,5,1,0.4167,0.0833,0.2,커리어리-하단링크
webinar,review_form,4,1,0,0.25,0,0,웨비나-피드백 설문 링크
